Word,Count of repeating
a,2
actual,2
an,1
and,2
apartment,1
are,1
artists,1
august,1
awesome,1
be,2
biggest,1
bike,1
by,1
day,1
days,2
event,2
exhibition,1
fun,1
gorky,1
great,1
happened,2
have,1
held,1
here,1
i,2
in,3
is,2
join,1
kharkiv,1
left,2
louvre,1
main,1
mriya,1
new,1
news,3
nothing,1
occasion,1
of,2
on,1
organizing,1
paintings,1
paris,1
park,1
place,1
plain,1
poltava,1
privatead,2
quiz,1
rebuilt,1
rent,1
right,1
room,1
sell,1
something,1
take,1
testers,1
that,1
the,3
this,1
to,3
today,1
ukraine,2
until,2
us,1
want,2
we,1
when,2
where,2
will,2
world,2
